2018-09-15 12:25:44: m4690.jfernandorojasc-gmail-com.goodsync is REMOTE, trying DIRECT at 213.136.67.9:33333
2018-09-15 12:25:45: MustRetry after Recv: Recv: [requesting Digest auth]: 
2018-09-15 12:25:46: -- Análisis iniciado por On File Change Incremental
2018-09-15 12:25:58: Cambios: 61, Conflictos: 0, CopiaFecha: 0, CopiaEstado: 0, Errores: 0, All: 927
2018-09-15 12:25:58: Right to Left: Copy File: 61 
2018-09-15 12:26:26: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-fo.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-fo.php' (1.636)
2018-09-15 12:26:27: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-fr.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-fr.php' (2.004)
2018-09-15 12:26:29: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-gl.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-gl.php' (1.741)
2018-09-15 12:26:30: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-he.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-he.php' (1.811)
2018-09-15 12:26:32: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-hi.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-hi.php' (2.591)
2018-09-15 12:26:33: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-hr.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-hr.php' (1.753)
2018-09-15 12:26:34: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-hu.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-hu.php' (1.716)
2018-09-15 12:26:36: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-id.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-id.php' (1.774)
2018-09-15 12:26:37: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-it.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-it.php' (1.818)
2018-09-15 12:26:39: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ja.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ja.php' (1.924)
2018-09-15 12:26:40: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ka.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ka.php' (2.883)
2018-09-15 12:26:41: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ko.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ko.php' (1.770)
2018-09-15 12:26:43: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-lt.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-lt.php' (1.626)
2018-09-15 12:26:44: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-lv.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-lv.php' (1.642)
2018-09-15 12:26:45: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ms.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ms.php' (1.736)
2018-09-15 12:26:47: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-nb.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-nb.php' (1.554)
2018-09-15 12:26:48: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-nl.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-nl.php' (1.612)
2018-09-15 12:26:50: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-pl.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-pl.php' (1.816)
2018-09-15 12:26:51: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-pt.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-pt.php' (1.888)
2018-09-15 12:26:52: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-pt_br.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-pt_br.php' (1.907)
2018-09-15 12:26:54: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ro.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ro.php' (1.752)
2018-09-15 12:26:55: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-rs.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-rs.php' (2.281)
2018-09-15 12:26:57: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ru.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ru.php' (2.279)
2018-09-15 12:26:58: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-sk.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-sk.php' (1.709)
2018-09-15 12:26:59: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-sl.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-sl.php' (1.721)
2018-09-15 12:27:01: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-sv.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-sv.php' (1.611)
2018-09-15 12:27:02: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-tl.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-tl.php' (1.700)
2018-09-15 12:27:03: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-tr.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-tr.php' (1.771)
2018-09-15 12:27:05: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-uk.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-uk.php' (2.280)
2018-09-15 12:27:06: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-vi.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-vi.php' (1.792)
2018-09-15 12:27:08: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-zh.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-zh.php' (1.668)
2018-09-15 12:27:09: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-zh_cn.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-zh_cn.php' (1.655)
2018-09-15 12:27:12: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/LICENSE' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/LICENSE' (26.529)
